S/N,Warehouse,Order date,Delivery date,Customer,Zipcode
1952,Butler,04/06/2022 08:08,04/06/2022 15:56,116545,15226
1953,Pittsburgh Mills,04/06/2022 08:52,04/08/2022 12:26,60316,15090
1954,McKees Rocks,04/06/2022 08:52,04/08/2022 12:25,60316,15090
1955,Washington,04/06/2022 09:19,04/07/2022 14:44,121772,15090
1956,Washington,04/06/2022 09:45,04/07/2022 11:16,8674,15330
1957,Washington,04/06/2022 10:55,04/07/2022 11:35,98588,15367
1958,Butler,04/06/2022 12:38,4/13/2022 9:57,99368,15221
1959,Pittsburgh Mills,04/06/2022 15:08,04/08/2022 08:44,112163,15233
1960,Butler,04/06/2022 18:58,04/11/2022 12:39,125652,15129
1961,Pittsburgh Mills,04/06/2022 19:17,04/08/2022 11:57,11326,15228
1962,Pittsburgh Mills,04/06/2022 21:13,04/07/2022 17:24,123473,15206
1963,Pittsburgh Mills,04/06/2022 21:23,04/07/2022 17:44,65249,15213
1964,Butler,04/06/2022 21:53,04/08/2022 16:29,14650,15102
1965,Pittsburgh Mills,04/06/2022 22:09,04/08/2022 14:17,19091,15120
1966,Butler,04/06/2022 22:17,04/08/2022 16:17,2956,15241
1967,Washington,05/06/2022 01:50,05/09/2022 09:06,86240,15235
1968,Washington,05/06/2022 03:24,05/09/2022 08:49,18127,15221
1969,Beaver,05/06/2022 03:51,05/09/2022 20:33,14375,15227
1970,Washington,05/06/2022 05:26,05/09/2022 16:09,9000,15241
1971,Butler,05/06/2022 07:22,05/12/2022 14:35,109070,15237
1972,Washington,05/06/2022 07:24,05/06/2022 17:18,149217,15301
1973,Washington,05/06/2022 07:40,05/09/2022 09:37,65630,15044
1974,Washington,05/06/2022 07:46,05/10/2022 13:50,1909,15017
1975,Butler,05/06/2022 07:50,05/09/2022 16:31,2817,15241
1976,Washington,05/06/2022 07:51,05/09/2022 16:31,2817,15241
1977,Pittsburgh Mills,05/06/2022 07:52,05/09/2022 16:32,2817,15241
1978,Butler,05/06/2022 09:05,05/09/2022 15:42,61523,15243
1979,Butler,05/06/2022 14:12,05/10/2022 09:18,141964,15218
1980,Washington,05/06/2022 16:03,05/10/2022 13:23,12430,15317
1981,Washington,05/06/2022 19:05,05/09/2022 19:40,75005,15129
1982,McKees Rocks,05/06/2022 19:44,05/09/2022 11:32,55982,15106
1983,Washington,05/06/2022 20:12,05/10/2022 10:39,142762,15205
1984,Butler,05/06/2022 20:43,05/12/2022 10:32,131172,15044
1985,Beaver,05/06/2022 21:07,05/10/2022 13:49,1909,15017
1986,Beaver,05/06/2022 21:18,05/09/2022 16:02,2956,15241
1987,Washington,05/06/2022 21:25,05/10/2022 13:40,9032,15241
1988,Washington,05/06/2022 21:30,05/11/2022 16:44,2956,15241
1989,McKees Rocks,05/06/2022 22:21,05/10/2022 13:30,79314,15241
1990,McKees Rocks,05/06/2022 22:58,05/09/2022 12:40,110051,15232
1991,Butler,05/06/2022 23:36,05/09/2022 19:40,75005,15129
1992,Butler,05/06/2022 23:37,05/10/2022 14:26,146855,15234
1993,Beaver,05/06/2022 23:37,05/09/2022 19:40,75005,15129
1994,Pittsburgh Mills,05/06/2022 23:38,05/10/2022 14:28,146855,15234
1995,Beaver,05/06/2022 23:39,05/10/2022 14:28,146855,15234
1996,Butler,06/06/2022 08:07,06/07/2022 17:43,130672,15317
1997,Washington,06/06/2022 08:07,06/07/2022 17:42,130672,15317
1998,Washington,06/06/2022 11:04,06/07/2022 18:41,156463,15227
1999,Beaver,06/06/2022 12:29,06/08/2022 14:41,15985,15220
2000,Washington,06/06/2022 14:26,06/08/2022 12:58,15619,15216
2001,McKees Rocks,06/06/2022 22:21,06/08/2022 12:02,120550,15221
2002,Beaver,06/06/2022 22:22,06/08/2022 12:02,120550,15221
2003,Washington,06/06/2022 22:23,06/08/2022 15:05,123378,15201
2004,Pittsburgh Mills,06/06/2022 22:24,06/08/2022 15:07,123378,15201
2005,McKees Rocks,06/06/2022 22:37,06/08/2022 17:32,149750,15317
2006,Pittsburgh Mills,06/06/2022 22:58,06/09/2022 11:47,109070,15237
2007,Washington,06/06/2022 23:20,06/08/2022 17:58,160263,15317
2008,Butler,06/06/2022 23:41,06/07/2022 18:06,9032,15241
2009,Washington,06/06/2022 23:41,06/08/2022 12:17,18127,15221
2010,Pittsburgh Mills,07/06/2022 00:23,07/08/2022 10:56,148414,15227
2011,Washington,07/06/2022 01:40,07/11/2022 13:54,139691,15205
2012,McKees Rocks,07/06/2022 06:15,07/07/2022 10:51,79314,15241
2013,Pittsburgh Mills,07/06/2022 06:16,07/08/2022 12:46,79314,15241
2014,Butler,07/06/2022 06:38,07/06/2022 12:36,175408,15143
2015,McKees Rocks,07/06/2022 06:40,07/08/2022 13:08,175408,15143
2016,Washington,07/06/2022 06:40,07/08/2022 13:08,175408,15143
2017,Pittsburgh Mills,07/06/2022 06:41,07/08/2022 13:07,175408,15143
2018,Pittsburgh Mills,07/06/2022 07:21,07/08/2022 12:17,65863,15241
2019,McKees Rocks,07/06/2022 07:42,07/07/2022 09:12,119332,15236
2020,McKees Rocks,07/06/2022 08:10,07/07/2022 12:33,184734,15226
2021,Washington,07/06/2022 08:15,07/08/2022 12:32,2817,15241
2022,Washington,07/06/2022 08:34,07/07/2022 14:39,195204,15241
2023,Washington,07/06/2022 08:37,07/11/2022 11:38,10339,15220
2024,Washington,07/06/2022 08:47,07/08/2022 16:22,131172,15044
2025,Washington,07/06/2022 09:35,07/11/2022 13:28,195297,15106
2026,Washington,07/06/2022 09:57,07/08/2022 13:20,168629,15236
2027,Butler,07/06/2022 09:57,07/11/2022 11:29,194776,15216
2028,Washington,07/06/2022 11:29,07/11/2022 15:13,11565,15317
2029,Butler,07/06/2022 11:50,07/11/2022 13:43,56800,15205
2030,Butler,07/06/2022 12:00,07/08/2022 17:03,42852,15237
2031,McKees Rocks,07/06/2022 13:39,07/08/2022 10:48,193016,15084
2032,Washington,07/06/2022 19:39,07/07/2022 15:46,191019,15201
2033,McKees Rocks,07/06/2022 20:58,7/13/2022 12:42,117754,15301
2034,Pittsburgh Mills,07/06/2022 22:27,07/08/2022 12:34,174696,15233
2035,Pittsburgh Mills,07/06/2022 22:28,07/11/2022 12:12,176385,15342
2036,Pittsburgh Mills,07/06/2022 22:30,07/07/2022 18:04,196379,15235
2037,Washington,07/06/2022 22:37,7/13/2022 18:50,83058,15237
2038,Washington,07/06/2022 22:46,07/07/2022 14:17,83738,15031
2039,Pittsburgh Mills,07/06/2022 23:05,07/08/2022 10:18,30229,15217
2040,Beaver,07/06/2022 23:56,07/12/2022 09:18,65249,15213
2041,Washington,08/06/2022 01:00,08/09/2022 09:21,198832,15203
2042,Beaver,08/06/2022 01:03,08/12/2022 11:42,169953,15213
2043,Butler,08/06/2022 01:04,08/12/2022 11:41,169953,15213
2044,Washington,08/06/2022 03:09,08/09/2022 12:11,197138,15227
2045,McKees Rocks,08/06/2022 07:46,08/08/2022 12:30,50098,15212
2046,Pittsburgh Mills,08/06/2022 08:02,08/10/2022 11:21,87400,15102
2047,Butler,08/06/2022 08:03,08/10/2022 11:21,87400,15102
2048,Pittsburgh Mills,08/06/2022 08:18,08/09/2022 12:48,166921,15120
2049,Washington,08/06/2022 08:47,08/09/2022 08:46,137482,15224
2050,Washington,08/06/2022 08:53,08/09/2022 13:11,98234,15217
2051,Butler,08/06/2022 09:17,08/10/2022 10:45,214149,15227
2052,Washington Big Box,08/06/2022 09:29,08/09/2022 12:32,92320,15143
2053,Pittsburgh Mills,08/06/2022 09:39,08/08/2022 13:48,42199,15017
2054,Butler,08/06/2022 10:00,08/10/2022 12:47,190502,15102
2055,Pittsburgh Mills,08/06/2022 11:34,08/08/2022 14:38,107933,15301
2056,Butler,08/06/2022 13:41,08/10/2022 14:36,223149,15218
2057,McKees Rocks,08/06/2022 14:17,08/10/2022 14:11,67113,15220
2058,Washington Big Box,08/06/2022 16:15,08/09/2022 10:02,218689,15206
2059,Washington Big Box,08/06/2022 17:23,08/10/2022 11:58,16332,15317
2060,Washington,08/06/2022 17:24,08/10/2022 11:58,16332,15317
2061,Washington,08/06/2022 17:33,08/08/2022 16:11,61702,15342
2062,Washington Big Box,08/06/2022 19:16,08/09/2022 11:25,221347,15237
2063,Washington,08/06/2022 21:36,08/09/2022 10:43,108193,15237
2064,Butler,09/06/2022 05:20,09/08/2022 14:30,52221,15227
2065,Pittsburgh Mills,09/06/2022 06:04,09/07/2022 10:38,248711,15228
2066,Washington,09/06/2022 09:07,09/09/2022 11:04,236785,15227
2067,Pittsburgh Mills,09/06/2022 09:33,09/08/2022 11:53,235333,15090
2068,Pittsburgh Mills,09/06/2022 10:40,09/09/2022 12:28,168033,15301
2069,McKees Rocks,09/06/2022 11:33,09/08/2022 12:34,142762,15205
2070,Pittsburgh Mills,09/06/2022 12:00,09/08/2022 12:18,249717,15044
2071,Butler,09/06/2022 13:22,09/09/2022 13:57,236144,15217
2072,McKees Rocks,09/06/2022 17:34,09/08/2022 16:22,15658,15106
2073,Beaver,09/06/2022 18:33,09/08/2022 11:30,245277,15090
2074,Pittsburgh Mills,09/06/2022 20:05,09/08/2022 09:59,49260,15217
2075,Washington,09/06/2022 20:10,09/08/2022 15:26,57725,15234
2076,Pittsburgh Mills,09/06/2022 22:59,09/09/2022 16:11,71708,15226
2077,Washington Big Box,09/06/2022 23:12,09/08/2022 13:20,18276,15212
2078,Washington,09/06/2022 23:13,09/08/2022 12:33,142762,15205
2079,Washington Big Box,09/06/2022 23:15,09/07/2022 14:31,142355,15106
2080,Beaver,09/06/2022 23:24,09/08/2022 11:07,217875,15220
2081,Pittsburgh Mills,10/06/2022 06:59,10/07/2022 11:32,237399,15090
2082,Warren,10/06/2022 07:44,10/06/2022 20:09,10427,15207
2083,Butler,10/06/2022 08:36,10/10/2022 16:44,270991,15216
2084,Washington,10/06/2022 08:37,10/07/2022 15:25,270991,15216
2085,Pittsburgh Mills,10/06/2022 09:15,10/07/2022 13:11,259970,15209
2086,Beaver,10/06/2022 09:24,10/08/2022 08:09,244939,44515
2087,Butler,10/06/2022 09:49,10/11/2022 13:55,155930,15237
2088,Pittsburgh Mills,10/06/2022 10:02,10/10/2022 17:00,184734,15226
2089,Washington,10/06/2022 10:18,10/11/2022 12:11,199590,15220
2090,Boardman,10/06/2022 12:05,10/11/2022 12:05,56635,15220
2091,Pittsburgh Mills,10/06/2022 12:32,10/10/2022 08:14,231413,15206
2092,Akron,10/06/2022 12:33,10/11/2022 15:08,231413,15206
2093,Washington Big Box,10/06/2022 13:14,10/10/2022 11:11,62388,15206
2094,Washington Big Box,10/06/2022 13:25,10/07/2022 14:48,16332,15317
2095,Beaver,10/06/2022 13:58,10/10/2022 17:38,236144,15217
2096,McKees Rocks,10/06/2022 15:43,10/11/2022 10:18,263335,15213
2097,Butler,10/06/2022 20:00,10/07/2022 13:20,186144,15237
2098,Pittsburgh Mills,10/06/2022 20:01,10/07/2022 13:20,186144,15237
2099,Washington,10/06/2022 20:11,10/11/2022 15:44,107676,15236
2100,Pittsburgh Mills,10/06/2022 20:18,10/11/2022 13:21,254320,15317
2101,Pittsburgh Mills,10/06/2022 20:21,10/11/2022 15:20,233086,15102
2102,Pittsburgh Mills,10/06/2022 20:21,10/10/2022 14:17,236590,15234
2103,Pittsburgh Mills,10/06/2022 21:07,10/10/2022 15:23,223149,15218
2104,Butler,10/06/2022 21:28,10/10/2022 14:25,33781,15234
2105,Pittsburgh Mills,10/06/2022 21:29,10/11/2022 12:08,33781,15234
2106,Boardman,10/06/2022 21:30,10/11/2022 09:48,133114,15218
2107,Pittsburgh Mills,10/06/2022 21:40,10/11/2022 13:23,109070,15237
2108,Boardman,10/06/2022 22:29,10/11/2022 14:23,237399,15090
2109,Washington,10/06/2022 22:33,10/10/2022 09:49,49260,15217
2110,Washington Big Box,10/06/2022 22:34,10/10/2022 10:00,49260,15217
2111,Beaver Falls,11/06/2022 01:35,11/09/2022 12:27,284518,15301
2112,Butler,11/06/2022 07:44,11/09/2022 14:12,53268,15102
2113,Pittsburgh Mills,11/06/2022 13:32,11/08/2022 17:45,28023,15227
2114,Warren,11/06/2022 14:58,11/11/2022 10:51,116215,15120
2115,Pittsburgh Mills,11/06/2022 15:39,11/09/2022 11:54,127670,15317
2116,Pittsburgh Mills,11/06/2022 18:46,11/08/2022 11:54,10905,15044
2117,Washington,11/06/2022 19:46,11/08/2022 15:43,165008,15206
2118,Pittsburgh Mills,11/06/2022 19:46,11/08/2022 15:43,165008,15206
2119,Butler,11/06/2022 19:46,11/08/2022 15:43,165008,15206
2120,Washington,11/06/2022 21:20,11/08/2022 13:58,14165,15205
2121,Beaver,01/07/2022 00:09,01/11/2022 14:48,55982,15106
2122,McKees Rocks,01/07/2022 07:20,01/12/2022 13:47,24338,15228
2123,Beaver,01/07/2022 07:20,01/12/2022 13:47,24338,15228
2124,Washington,01/07/2022 12:09,01/12/2022 13:47,16332,15317
2125,Beaver,01/07/2022 19:19,01/12/2022 13:47,2956,15241
2126,Pittsburgh Mills,01/07/2022 19:19,1/13/2022 9:11,2956,15241
2127,Butler,01/07/2022 20:31,01/12/2022 13:47,16748,15301
2128,McKees Rocks,01/07/2022 20:36,01/10/2022 17:40,17087,15367
2129,McKees Rocks,02/07/2022 05:14,02/07/2022 19:27,69422,15218
2130,Pittsburgh Mills,02/07/2022 05:15,02/09/2022 19:23,69422,15218
2131,Washington,02/07/2022 08:01,2/13/2022 14:18,17477,15129
2132,McKees Rocks,02/07/2022 08:03,2/13/2022 14:19,17477,15129
2133,McKees Rocks,02/07/2022 09:25,02/09/2022 18:15,56954,15202
2134,Washington,02/07/2022 12:16,02/10/2022 12:42,47136,15237
2135,Pittsburgh Mills,02/07/2022 13:11,02/08/2022 17:00,52668,15219
2136,Butler,02/07/2022 14:24,02/11/2022 11:29,11396,15220
2137,Washington,02/07/2022 14:24,02/08/2022 14:18,11396,15220
2138,Butler,02/07/2022 18:49,2/13/2022 15:20,82185,15226
2139,Pittsburgh Mills,02/07/2022 18:50,02/09/2022 17:02,82185,15226
2140,Beaver,02/07/2022 18:53,02/09/2022 17:04,82185,15226
2141,Pittsburgh Mills,02/07/2022 19:32,02/08/2022 17:24,45216,15214
2142,McKees Rocks,02/07/2022 19:53,02/10/2022 09:23,63337,15210
2143,Beaver,02/07/2022 19:57,02/09/2022 14:12,9032,15241
2144,Beaver,02/07/2022 19:57,02/10/2022 09:36,74140,15227
2145,Beaver,02/07/2022 19:58,02/09/2022 13:07,47317,15243
2146,Beaver,02/07/2022 20:04,02/09/2022 13:18,20043,15228
2147,McKees Rocks,02/07/2022 20:05,02/09/2022 14:12,9032,15241
2148,Washington,02/07/2022 20:13,02/08/2022 12:45,84043,15301
2149,Butler,02/07/2022 20:15,02/10/2022 14:11,9032,15241
2150,Butler,02/07/2022 20:16,2/13/2022 15:29,23907,15216
2151,Washington,02/07/2022 20:23,02/08/2022 16:32,52418,15201
2152,Butler,02/07/2022 20:23,02/10/2022 13:29,20043,15228
2153,Butler,02/07/2022 20:24,02/11/2022 08:29,52418,15201
2154,Beaver,02/07/2022 21:37,02/11/2022 10:41,49627,15235
2155,Pittsburgh Mills,02/07/2022 21:58,02/10/2022 13:27,20043,15228
2156,Butler,02/07/2022 22:49,2/13/2022 13:14,18127,15221
2157,Butler,03/07/2022 07:16,03/09/2022 19:07,59863,15090
2158,McKees Rocks,03/07/2022 10:13,03/10/2022 10:17,47136,15237
2159,Butler,03/07/2022 11:02,03/10/2022 10:05,79473,15237
2160,Washington,03/07/2022 14:46,03/08/2022 17:11,23210,15120
2161,Washington,03/07/2022 17:25,03/08/2022 15:05,48231,15106
2162,McKees Rocks,03/07/2022 20:20,03/08/2022 17:19,20685,15120
2163,McKees Rocks,03/07/2022 20:30,03/09/2022 16:00,79314,15241
2164,McKees Rocks,03/07/2022 20:36,03/09/2022 15:40,91354,15017
2165,Beaver,03/07/2022 20:39,03/11/2022 14:56,97810,15210
2166,Butler,03/07/2022 20:41,03/10/2022 12:03,61133,15234
2167,Washington,03/07/2022 20:42,03/09/2022 16:01,79314,15241
2168,Washington,03/07/2022 20:49,03/10/2022 12:32,14375,15227
2169,Butler,03/07/2022 20:58,03/10/2022 17:18,30229,15217
2170,Washington,03/07/2022 21:10,03/09/2022 19:26,2087,15090
2171,Beaver,03/07/2022 21:17,03/10/2022 09:54,100906,15237
2172,Washington,03/07/2022 21:23,03/10/2022 08:34,98028,15213
2173,Butler,03/07/2022 21:32,03/10/2022 12:15,18194,15234
2174,Washington,03/07/2022 21:52,03/08/2022 17:19,20685,15120
2175,Pittsburgh Mills,03/07/2022 22:02,03/09/2022 13:31,35280,15342
2176,Washington,03/07/2022 22:30,03/08/2022 15:33,92615,15216
2177,Washington,04/07/2022 07:16,04/08/2022 14:12,89036,15317
2178,Washington,04/07/2022 07:18,04/08/2022 09:20,30424,15237
2179,Pittsburgh Mills,04/07/2022 07:39,04/08/2022 16:08,2817,15241
2180,Butler,04/07/2022 08:05,04/11/2022 11:40,7417,15210
2181,Washington,04/07/2022 08:47,04/08/2022 15:39,56434,15317
2182,Butler,04/07/2022 09:26,04/08/2022 14:20,11565,15317
2183,McKees Rocks,04/07/2022 10:32,4/14/2022 15:51,694,15332
2184,Pittsburgh Mills,04/07/2022 10:48,04/12/2022 11:26,10593,15044
2185,Butler,04/07/2022 11:05,04/08/2022 17:34,11396,15220
2186,Washington,04/07/2022 11:11,04/08/2022 17:33,11396,15220
2187,Pittsburgh Mills,04/07/2022 11:13,04/08/2022 17:32,11396,15220
2188,Beaver,04/07/2022 11:13,04/08/2022 17:33,11396,15220
2189,Pittsburgh Mills,04/07/2022 12:15,04/08/2022 11:47,54673,15243
2190,Butler,04/07/2022 12:16,04/11/2022 13:34,54673,15243
2191,McKees Rocks,04/07/2022 20:31,04/08/2022 13:26,95432,15216
2192,Beaver,04/07/2022 21:14,04/08/2022 15:56,12799,15102
2193,Pittsburgh Mills,04/07/2022 21:29,04/12/2022 12:16,33489,15237
2194,Beaver,04/07/2022 21:30,04/11/2022 11:24,16494,15211
2195,Butler,04/07/2022 21:49,04/11/2022 11:02,97642,15206
2196,Pittsburgh Mills,04/07/2022 22:00,4/14/2022 14:34,12392,15017
2197,Beaver,04/07/2022 22:00,04/08/2022 13:21,91505,15205
2198,Butler,04/07/2022 22:01,04/08/2022 13:21,91505,15205
2199,Washington,04/07/2022 22:14,04/08/2022 18:06,37122,15237
2200,Washington,04/07/2022 22:20,04/08/2022 16:37,31017,15102
2201,Butler,05/07/2022 07:11,05/09/2022 15:53,103782,15241
2202,Washington,05/07/2022 07:20,05/10/2022 13:50,2817,15241
2203,Butler,05/07/2022 09:10,05/09/2022 16:31,2817,15241
2204,Washington,05/07/2022 10:36,05/09/2022 20:13,14347,15236
2205,Pittsburgh Mills,05/07/2022 10:48,05/09/2022 16:57,56434,15317
2206,Beaver,05/07/2022 11:35,05/10/2022 13:17,8240,15317
2207,Butler,05/07/2022 11:53,05/10/2022 09:41,63463,15206
2208,Washington,05/07/2022 12:25,05/10/2022 09:53,79482,15212
2209,Butler,06/07/2022 04:32,06/08/2022 17:18,152062,15342
2210,Butler,06/07/2022 05:10,06/08/2022 15:34,77463,15301
2211,Beaver,06/07/2022 05:11,06/08/2022 15:35,77463,15301
2212,Pittsburgh Mills,06/07/2022 06:17,06/08/2022 13:20,168926,15108
2213,Beaver,06/07/2022 06:55,06/09/2022 18:02,114211,15017
2214,Washington,06/07/2022 07:02,06/08/2022 10:29,79482,15212
2215,Pittsburgh Mills,06/07/2022 07:06,06/09/2022 11:42,3139,15044
2216,Beaver,06/07/2022 07:18,06/08/2022 14:28,56800,15205
2217,Pittsburgh Mills,06/07/2022 09:01,06/09/2022 11:32,33489,15237
2218,Washington,06/07/2022 09:27,06/09/2022 15:06,155930,15237
2219,Pittsburgh Mills,06/07/2022 09:44,06/08/2022 17:57,160263,15317
2220,Washington,06/07/2022 13:04,06/10/2022 13:41,30138,15210
2221,Butler,06/07/2022 13:09,06/09/2022 15:34,137144,15237
2222,Washington,06/07/2022 16:32,06/10/2022 10:40,166921,15120
2223,Pittsburgh Mills,06/07/2022 16:42,06/09/2022 12:49,77275,15205
2224,Washington,06/07/2022 16:56,06/10/2022 13:04,16332,15317
2225,Butler,06/07/2022 16:57,06/10/2022 13:04,16332,15317
2226,Beaver,06/07/2022 18:29,06/09/2022 17:33,165319,15102
2227,Pittsburgh Mills,06/07/2022 18:31,06/08/2022 14:17,165319,15102
2228,Pittsburgh Mills,06/07/2022 20:36,06/08/2022 18:17,128964,15057
2229,Washington,06/07/2022 22:05,06/09/2022 13:37,11326,15228
2230,Pittsburgh Mills,06/07/2022 22:05,06/10/2022 12:56,8240,15317
2231,Washington,06/07/2022 22:07,06/09/2022 16:17,103097,15236
2232,Beaver,06/07/2022 22:17,06/09/2022 16:16,103097,15236
2233,Beaver,06/07/2022 22:23,06/10/2022 09:31,167802,15237
2234,Beaver,06/07/2022 22:26,06/10/2022 12:14,105430,15205
2235,Pittsburgh Mills,06/07/2022 22:38,06/08/2022 14:35,17538,15241
2236,Butler,06/07/2022 22:43,06/09/2022 17:33,165319,15102
2237,Pittsburgh Mills,06/07/2022 22:45,06/08/2022 13:28,157974,15228
2238,McKees Rocks,06/07/2022 22:53,06/09/2022 11:34,52889,15044
2239,Beaver,06/07/2022 23:10,06/09/2022 17:45,34151,15241
2240,Butler,06/07/2022 23:14,06/10/2022 13:28,81646,15227
2241,Beaver,06/07/2022 23:20,06/10/2022 13:28,81646,15227
2242,Pittsburgh Mills,06/07/2022 23:51,06/09/2022 11:46,109070,15237
2243,Pittsburgh Mills,07/07/2022 00:43,07/08/2022 12:23,9032,15241
2244,Butler,07/07/2022 05:34,07/12/2022 10:28,175408,15143
2245,Washington,07/07/2022 05:35,07/08/2022 13:08,175408,15143
2246,Pittsburgh Mills,07/07/2022 05:35,07/08/2022 13:07,175408,15143
2247,Beaver,07/07/2022 05:54,07/11/2022 13:26,195297,15106
2248,Butler,07/07/2022 05:57,07/11/2022 13:27,195297,15106
2249,Washington,07/07/2022 05:58,07/08/2022 11:27,90556,15236
2250,Beaver,07/07/2022 06:07,07/11/2022 11:27,564,15317
2251,Butler,07/07/2022 06:25,07/11/2022 10:16,194016,15227
2252,Pittsburgh Mills,07/07/2022 06:30,07/07/2022 18:56,133114,15218
2253,Washington,07/07/2022 06:30,07/08/2022 11:07,194016,15227
2254,Washington,07/07/2022 07:46,07/08/2022 12:45,79314,15241
2255,Beaver,07/07/2022 08:18,07/11/2022 10:26,109070,15237
2256,Butler,07/07/2022 08:42,07/11/2022 15:01,65699,15222
2257,Beaver,07/07/2022 08:56,07/11/2022 10:31,108743,15236
2258,Pittsburgh Mills,07/07/2022 09:21,07/08/2022 12:13,197479,15214
2259,Washington,07/07/2022 09:57,07/12/2022 15:34,155930,15237
2260,Pittsburgh Mills,07/07/2022 10:03,07/11/2022 11:11,175845,15367
2261,Washington,07/07/2022 10:04,7/13/2022 12:09,175845,15367
2262,Butler,07/07/2022 10:20,07/08/2022 17:21,47136,15237
2263,Beaver,07/07/2022 10:22,07/08/2022 17:22,47136,15237
2264,Pittsburgh Mills,07/07/2022 10:22,07/08/2022 17:22,47136,15237
2265,Butler,07/07/2022 11:35,07/08/2022 17:03,42852,15237
2266,Butler,07/07/2022 13:00,07/11/2022 11:12,15619,15216
2267,Washington,07/07/2022 13:20,07/11/2022 16:55,172076,15236
2268,Washington,07/07/2022 14:08,07/12/2022 17:16,196379,15235
2269,Pittsburgh Mills,07/07/2022 14:56,07/11/2022 10:55,141651,15367
2270,Pittsburgh Mills,07/07/2022 14:58,07/11/2022 12:02,118356,15317
2271,Pittsburgh Mills,07/07/2022 15:26,07/11/2022 10:11,144514,15237
2272,Butler,07/07/2022 16:09,07/11/2022 10:05,87589,15227
2273,McKees Rocks,07/07/2022 16:09,07/12/2022 10:55,3570,15241
2274,Butler,07/07/2022 16:30,07/11/2022 16:55,172076,15236
2275,Butler,07/07/2022 19:47,07/11/2022 11:54,16545,15317
2276,Washington,07/07/2022 21:56,07/12/2022 09:54,172940,15212
2277,Pittsburgh Mills,07/07/2022 21:56,07/08/2022 12:28,172940,15212
2278,Pittsburgh Mills,07/07/2022 22:24,07/11/2022 12:12,176385,15342
2279,Pittsburgh Mills,07/07/2022 22:34,07/11/2022 16:31,151458,15236
2280,McKees Rocks,07/07/2022 22:39,07/11/2022 16:31,151458,15236
2281,McKees Rocks,07/07/2022 22:39,07/08/2022 14:05,199332,15217
2282,Pittsburgh Mills,07/07/2022 22:55,7/13/2022 15:35,79327,15017
2283,Butler,07/07/2022 23:19,07/11/2022 11:53,118074,15106
2284,Butler,07/07/2022 23:20,07/12/2022 08:48,183018,15232
2285,Pittsburgh Mills,08/07/2022 09:24,08/09/2022 12:43,210081,15143
2286,Pittsburgh Mills,08/07/2022 17:00,08/08/2022 12:05,221709,15203
2287,Washington,08/07/2022 20:26,08/09/2022 11:45,175109,15101
2288,McKees Rocks,09/07/2022 00:24,09/07/2022 14:15,98640,15235
2289,Pittsburgh Mills,09/07/2022 00:26,09/08/2022 10:12,123378,15201
2290,Butler,09/07/2022 00:33,09/09/2022 10:32,91364,15217
2291,Pittsburgh Mills,09/07/2022 00:50,09/12/2022 09:56,246616,15017
2292,Pittsburgh Mills,09/07/2022 01:31,09/09/2022 17:01,251595,15221
2293,Beaver,09/07/2022 03:37,09/08/2022 12:52,209940,15044
2294,Washington,09/07/2022 05:39,09/09/2022 17:25,210483,15221
2295,Butler,09/07/2022 05:39,09/09/2022 17:23,210483,15221
2296,Pittsburgh Mills,09/07/2022 07:25,09/08/2022 14:47,129954,15236
2297,Beaver,09/07/2022 07:29,09/08/2022 16:15,225651,15106
2298,Washington,09/07/2022 07:47,9/13/2022 14:35,253058,15057
2299,Washington,09/07/2022 07:51,09/08/2022 08:44,223149,15218
2300,Pittsburgh Mills,09/07/2022 08:32,09/09/2022 14:12,59000,15216
2301,Washington,09/07/2022 08:42,9/13/2022 12:59,8240,15317
2302,Washington,09/07/2022 09:23,09/12/2022 12:58,183504,15236
2303,Washington,09/07/2022 09:34,9/13/2022 13:32,193768,15317
2304,Pittsburgh Mills,09/07/2022 10:03,09/09/2022 11:19,156681,15227
2305,Pittsburgh Mills,09/07/2022 10:17,09/09/2022 15:46,11396,15220
2306,Butler,09/07/2022 10:17,09/09/2022 15:37,11396,15220
2307,McKees Rocks,09/07/2022 10:18,09/09/2022 15:41,11396,15220
2308,Pittsburgh Mills,09/07/2022 11:10,09/09/2022 09:51,231413,15206
2309,Washington,09/07/2022 11:43,9/13/2022 14:10,144514,15237
2310,Washington,09/07/2022 12:52,09/12/2022 13:43,121365,15102
2311,Washington,09/07/2022 13:54,09/12/2022 15:20,141964,15218
2312,Butler,09/07/2022 14:49,09/12/2022 09:05,78395,16066
2313,Warren,09/07/2022 15:20,9/13/2022 15:53,85119,15203
2314,McKees Rocks,09/07/2022 16:39,09/09/2022 15:55,16380,15202
2315,Washington,09/07/2022 18:17,9/13/2022 14:31,236460,15090
2316,Pittsburgh Mills,09/07/2022 19:40,09/09/2022 11:49,121365,15102
2317,Butler,09/07/2022 19:41,09/09/2022 11:49,121365,15102
2318,Beaver,09/07/2022 22:56,9/13/2022 12:44,150467,15243
2319,Pittsburgh Mills,09/07/2022 22:56,09/09/2022 16:51,242857,15237
2320,McKees Rocks,09/07/2022 22:57,09/09/2022 17:11,98640,15235
2321,Pittsburgh Mills,09/07/2022 22:57,09/09/2022 12:38,150467,15243
2322,Washington,09/07/2022 23:04,9/14/2022 13:35,175408,15143
2323,Washington,09/07/2022 23:07,9/13/2022 12:25,79314,15241
2324,McKees Rocks,09/07/2022 23:13,09/09/2022 17:06,202192,15102
